name;bloatRatio;missedDependencies;balance;ports;risk;entrypoint
athena;0.0;0.0;0;null;0;70.6
cowait;0.0;36.5;3771;null;0;100.0
vulcan;0.0;0.0;0;null;0;70.6
newTrackon;93.6;17.0;3635;100.0;0;100.0
sherlock;72.5;42.9;877454;null;0;100.0
k8s-sidecar;92.2;38.0;0;null;0;100.0
commuter;52.4;0.0;0;null;0;0.0
pipenv;21.5;84.7;56081719;null;0;100.0
RSSHub;27.1;1.1;18432;100.0;0;70.6
ZeroNet;97.4;1.3;-1256702;0;100.0;100.0
gitlab-semantic-versioning;4.0;47.4;8988389;null;0;100.0
findmeaflat;88.8;0.0;0;null;0;0.0
hackathon-starter;63.2;0.0;906;100.0;0;100.0
face_recognition;24.3;67.2;-9459986;null;0;100.0
bookdb;0.0;78.4;3905;null;0;100.0
gun;87.6;0.0;0;0;100.0;100.0
simple-icons;84.1;0.0;8534913;null;0;100.0
nodebestpractices;84.8;0.0;-845246;100.0;0;9.5
ansible;49.2;72.2;31102815;null;0;0.0
proxy_pool;94.7;18.1;-119710;100.0;0;0.0
parse-server;78.1;0.0;0;100;0;7.1
NodeBB;0.0;0.0;0;100.0;0;19.5
sampleo;37.6;65.1;44387964;null;0;100.0
auto-generate-changelog;0.0;47.1;3373878;null;0;100.0
api;0.0;0.0;0;null;0;70.6
linuxkit-logger;74.6;0.0;-940191;null;0;72.7
immer;36.4;22.6;30023359;100.0;0;100.0
locust;0.0;78.5;0;100.0;0;100.0
tracker;84.8;0.0;8867418;100.0;0;100.0
ranger;72.7;12.1;0;null;0;100.0
hyperion;0.0;0.0;0;null;0;70.6
hermes;0.0;0.0;0;null;0;70.6
juice-shop;53.4;0.0;0;100.0;0;100.0
shields;77.6;0.0;906;0;0;0.0
twint;16.7;47.1;-119710;null;0;100.0
juice-shop-ctf;86.8;0.0;0;null;0;100.0
dockercron;68.5;40.6;40908687;100.0;0;0.0
cookiecutter-flask;0.0;8.2;772122;null;0;100.0
glances;0.0;67.6;3635;100.0;0;100.0
chronos;0.0;0.0;0;null;0;70.6
